Area,Sample,Localization error (mm)
Area1,Damaged,8.907064
Area1,Pristine,7.391520999999999
Area1,Self-healed,8.848479
Area2,Damaged,8.827006
Area2,Pristine,8.171828
Area2,Self-healed,8.382073
Area3,Damaged,9.439300499999998
Area3,Pristine,8.497699
Area3,Self-healed,9.048542
Area4,Damaged,9.340388
Area4,Pristine,8.947016
Area4,Self-healed,8.453955
