Area,Sample,count,mean,std,min,25%,50%,75%,max
Area1,Damaged,127.0,9.439911385826774,5.109702930652672,0.842252,5.893001,8.907064,12.232731,26.357989
Area1,Pristine,126.0,8.483547912698414,4.792902147853092,0.49711099999999997,4.95180375,7.391520999999999,11.24983725,25.339414
Area1,Self-healed,131.0,9.923480740458015,5.665308071331742,1.448624,5.662972999999999,8.848479,12.264873999999999,36.458445000000005
Area2,Damaged,366.0,10.336030213114753,7.016584474325781,0.6278560000000001,5.523444499999999,8.827006,13.12872025,41.962114
Area2,Pristine,375.0,9.429089501333335,6.257163582026746,0.251419,4.915394000000001,8.171828,12.8182255,50.1192
Area2,Self-healed,337.0,9.239898290801188,5.483050345947738,0.622954,5.096492,8.382073,12.380849000000001,32.381492
Area3,Damaged,646.0,10.878469580495356,7.05272538923205,0.435817,5.76274825,9.439300499999998,14.4284555,43.198279
Area3,Pristine,686.0,10.30610939941691,7.609239292163305,0.681665,5.105817,8.497699,13.531444999999998,64.64269300000001
Area3,Self-healed,663.0,10.012705325791854,5.8152501610264755,0.176573,5.7391685,9.048542,13.1977,35.183675
Area4,Damaged,911.0,10.696057679473105,7.283338577077941,0.5922350000000001,5.442168000000001,9.340388,13.8255205,51.772040000000004
Area4,Pristine,863.0,10.970860062572424,7.878079696586989,0.599,5.2656945,8.947016,14.393704500000002,54.14885
Area4,Self-healed,919.0,9.832515714907508,6.702402465267378,0.122958,4.87133,8.453955,12.8841875,50.26617
